[2025-08-23 01:43:05] Página: login | Ação: index
[2025-08-23 01:43:08] Página: login | Ação: authenticate
[2025-08-23 01:43:08] Página: login | Ação: index
[2025-08-23 01:43:10] Página: login | Ação: authenticate
[2025-08-23 01:43:10] Página: login | Ação: index
[2025-08-23 01:43:14] Página: login | Ação: authenticate
[2025-08-23 01:43:14] Página: login | Ação: index
[2025-08-23 01:43:21] Página: login | Ação: authenticate
[2025-08-23 01:43:21] Página: login | Ação: index
[2025-08-23 01:46:53] Página: login | Ação: index
[2025-08-23 01:46:53] Página: login | Ação: index
[2025-08-23 01:47:23] Página: login | Ação: authenticate
[2025-08-23 01:47:23] Página: login | Ação: index
[2025-08-23 01:47:38] Página: login | Ação: authenticate
[2025-08-23 01:47:39] Página: login | Ação: index
[2025-08-23 01:57:07] Página: login | Ação: authenticate
[2025-08-23 01:57:07] Página: login | Ação: index
[2025-08-23 01:57:07] Página: login | Ação: index
[2025-08-23 01:57:27] Página: login | Ação: authenticate
[2025-08-23 01:57:27] Página: login | Ação: index
